,tweet,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
52,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
53,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
54,analyticsinsire introducing finalist 2022 analytics amp ai award public sector analytics year category spon,21,144,5.904761904761905,5,0,1,2,0.0
55,vistamilk congrats nadeemrather_ tyndallinstitut scienceirel digitalisingdairy httpstconr0wp2kqbp,9,127,13.222222222222221,0,1,0,1,0.0
56,ethicalfarmie decency moral modicum cash scramble httpstcodboghutzvf,18,140,6.833333333333333,7,0,0,0,0.0
57,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
58,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
59,happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation httpstcowebip7wlly,19,140,6.421052631578948,5,1,0,0,0.5111111111111111
60,vistamilk nadeemrather_ tyndallinstitut scienceirel many congratulation nadeemrather_,8,108,12.625,0,0,0,0,0.5
61,highly recommend farm walk tom farm kylemore today training event pmp farm advis httpstcohupgj1zfs3,23,140,5.130434782608695,7,1,0,1,0.16
62,hedgelayingie nesting season cut hedge irish wildbird population crashing human responsible,22,140,5.409090909090909,8,0,0,1,0.06666666666666667
63,imeldaannecasey research part fasten david wall teagascenviron pi collaborator deptofscisetu ucdagfo,16,140,7.8125,2,0,0,2,0.0
64,research part fasten david wall teagascenviron pi collaborator deptofscisetu httpstcofynkvlzffi,14,134,8.642857142857142,2,0,0,1,0.0
65,martinheydonfg warmly welcome publication simonharristd impact 2030 new national research innovation strategy,20,140,5.95,5,0,0,3,0.4681818181818182
66,martinheydonfg warmly welcome publication simonharristd impact 2030 new national research innovation strategy,20,140,5.95,5,0,0,3,0.4681818181818182
67,boltonwarberg thanks coorganisers seaweedireland nuanamara ireland booth sponsor marineinst bordiascmhara agriculture,15,140,8.4,3,1,0,1,0.2
68,niall mcmanus earthroute sharing idea food waste optimization add value carlow business httpstcotcqsx8nzez,21,140,5.714285714285714,7,0,0,0,-0.2
69,animallawie dobetterdd dublinspca fingalcoco cost local authority average 700800 seize horse using,18,139,6.777777777777778,3,0,0,1,-0.075
70,dcuwater discussion progress measure made across agri sector protect improve waterquality epaireland teagas,20,140,6.05,6,1,0,1,0.0
71,ucd_forestry member dafmfunded continufor scoping site assessment natural regeneration ccf stand,20,140,6.05,6,0,0,2,0.1
72,royraces animalwelfareie banbloodsports watch_welfare horseslaughter_ banhorseracingi httpstcogigwck1pzk,8,132,15.625,0,0,0,0,0.0
73,gailhunt animalwelfareie banbloodsports watch_welfare horseslaughter_ banhorseracingi httpstcoapjatw7eg7,8,133,15.75,0,0,0,0,0.0
74,ucd_forestry member dafmfunded continufor scoping site assessment natural regeneration ccf stand,20,140,6.05,6,0,0,2,0.1
75,animallawie dublinspca fingalcoco follow money trail find httpstcosiszyeyfyw,20,140,6.05,9,0,0,0,0.0
76,ucd_forestry member dafmfunded continufor scoping site assessment natural regeneration ccf stand,20,140,6.05,6,0,0,2,0.1
77,ucd_forestry member dafmfunded continufor scoping site assessment natural regeneration ccf stand,20,140,6.05,6,0,0,2,0.1
78,member dafmfunded continufor scoping site assessment natural regeneration ccf httpstcotmtiwzec2u,18,139,6.777777777777778,6,0,0,1,0.1
79,biodatacentre pollinatorplan pollinator started working nursery march honeyberries httpstcohodopzpyfl,14,138,8.928571428571429,3,0,0,0,0.0
80,congrats nadeemrather_ tyndallinstitut scienceirel digitalisingdairy httpstconr0wp2kqbp,7,112,15.142857142857142,0,1,0,0,0.0
81,edelwconroy athloneadvert ccathlone please vote simply liking james entry well done getting,17,140,7.294117647058823,2,0,0,1,0.0
82,8love past seize future james duffy group 1st year 3rd year athlone community college athlone co w,19,140,5.409090909090909,0,0,0,2,-0.08333333333333333
83,exoticpetsirl lnbdublin seanad yesterday asking stance positivelist legislation amp cyp,20,144,6.578947368421052,7,1,0,1,0.0
84,lnbdublin seanad yesterday asking stance positivelist legislation amp th httpstcoamjrp8i4ir,18,144,7.470588235294118,6,1,0,0,0.0
85,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
86,go win killian,7,56,7.142857142857143,2,0,0,0,0.8
87,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
88,nice money parade cattle could spare euro help rescue httpstcopb0mwhnlkw,20,140,6.315789473684211,6,0,0,0,0.175
89,royraces animalwelfareie banbloodsports watch_welfare horseslaughter_ banhorseracingi httpstcoiyrroxkhuk,8,132,15.625,0,0,0,0,0.0
90,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
91,disgraceful disgusting way treat animal banliveexports enough inhumane c httpstco6r3qrn681p,19,140,6.421052631578948,5,1,0,2,-0.6333333333333333
92,allpeopleallna1 white elephant walk shining massy wood today 13 white elephant say dont want interpretive centre wa,22,140,5.086956521739131,3,0,0,3,0.0
93,allpeopleallna1 white elephant walk shining massy wood today 13 white elephant say dont want interpretive centre wa,22,140,5.086956521739131,3,0,0,3,0.0
94,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
95,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
96,8love past seize future james duffy group 1st year 3rd year athlone community college athlone co w,19,140,5.409090909090909,0,0,0,2,-0.08333333333333333
97,today oireachtasnews asked portofcork classified designated port non eu fresh produce httpstcothv0beaf0j,20,137,5.9,6,0,0,2,0.3
98,siobhanoconnor3 17 month postdoc position open anyone interested farmer mental health help,21,140,5.714285714285714,5,0,1,1,0.049999999999999996
99,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
100,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
